Параметр,Значение
Путь к изображению,C:\Users\8yp3r\vscode\RGB_HSV\GettyImages-1324644587.jpg
Размер изображения,2500x1500
Количество каналов,3
Канал H - минимальное значение,0
Канал H - максимальное значение,179
Канал H - среднее значение,154.1
Канал S - минимальное значение,0
Канал S - максимальное значение,255
Канал S - среднее значение,58.7
Канал V - минимальное значение,0
Канал V - максимальное значение,255
Канал V - среднее значение,240.4
Диапазон H для голубого,90-105°
Диапазон S для голубого,100-255
Диапазон V для голубого,100-255
Найдено голубых пикселей,44796
Дата анализа,2025-09-14 17:34:06
